id,Missing,HGSHS.A1,HGSHS.A2,HGSHS.A3,HGSHS.A4,HGSHS.A5,HGSHS.A6,HGSHS.A7,HGSHS.A8,HGSHS.A9,HGSHS.A10,HGSHS.A11,HGSHS.A12PRE,HGSHS.A12POST,HGSHS.A12,INV.1,INV.2,INV.3,INV.4,INV.5,INV.6,INV.7,INV.8,INV.9,INV.10,INV.11,INV.12
90,0,0,1,1,0,0,1,1,1,0,0,0,4,3,0,4,4,5,0,2,3,4,4,0,3,0,0
91,0,0,0,1,0,0,1,1,0,0,0,0,5,3,0,0,2,3,2,2,3,4,0,0,2,0,0
92,0,1,0,1,0,0,0,1,0,0,0,1,6,0,0,2,0,4,0,0,0,4,0,0,0,1,0
93,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,3,4,0,0,0,0,0,0,0,0,0
94,0,0,1,1,0,1,0,1,1,0,0,0,6,0,0,0,4,4,2,4,0,4,5,0,0,0,0
95,0,1,1,1,1,1,0,0,0,0,0,0,7,0,0,4,5,1,0,2,1,1,0,0,0,0,0
96,0,0,0,1,0,1,1,1,1,0,1,0,8,0,0,0,0,5,1,5,5,5,5,0,5,0,0
97,0,0,1,1,0,1,0,0,0,0,0,0,4,0,0,0,5,0,0,5,0,0,2,0,0,5,3
98,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0,4,2,5,0,5,0,4,5,0,5,1,0
99,0,0,0,1,1,1,1,1,1,0,1,0,6,4,0,0,0,3,4,3,5,3,4,0,4,2,2
100,0,1,1,1,1,1,1,1,0,1,0,1,3,5,1,3,4,4,3,4,2,5,3,3,2,2,4
101,0,1,1,1,1,1,1,1,1,1,1,0,3,2,1,4,3,5,3,4,4,3,5,2,4,0,4
102,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,1,4,0,3,2,0,4,0,4,0,5
103,1,,,,,,,,,,,,,,,0,4,5,2,1,4,5,4,2,4,2,0
104,0,0,1,1,1,1,1,1,0,0,1,0,6,0,0,1,1,2,1,3,1,1,2,3,2,0,5
105,0,1,1,0,1,0,1,1,0,1,1,0,5,0,0,1,1,2,1,3,1,1,2,3,2,0,5
106,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,2,2,0,0,0,3,0,0,3,0,3
107,0,0,1,1,0,1,0,1,0,0,0,1,5,2,0,3,5,5,2,4,2,5,3,0,4,1,2
108,0,0,0,0,0,1,1,1,1,0,1,0,1,4,1,4,2,5,1,4,3,3,5,4,5,1,2
109,0,0,1,1,0,1,0,1,0,0,0,0,6,1,0,5,4,5,3,5,4,5,3,0,5,0,0
110,0,0,1,1,1,1,1,1,1,1,1,1,4,5,0,0,3,5,3,4,5,5,2,2,4,3,5
111,0,0,1,1,1,1,1,1,1,0,1,0,7,2,0,0,3,5,5,4,5,5,5,0,5,0,0
112,0,1,1,1,0,0,0,0,0,0,1,1,6,1,0,3,3,4,0,0,0,2,0,0,4,3,2
113,0,1,1,1,1,1,1,1,1,1,1,0,0,3,1,4,4,4,4,2,1,2,4,2,3,0,1
114,0,0,1,1,1,0,0,1,0,1,1,1,0,7,1,5,4,5,3,0,2,5,2,0,5,0,0
115,0,0,1,1,0,0,0,0,0,0,0,0,7,0,0,1,2,3,3,1,1,0,1,0,4,0,0
116,0,1,0,1,0,1,0,1,0,0,1,0,8,2,0,4,5,5,0,3,0,5,0,0,5,0,5
117,0,1,0,1,1,1,0,1,0,0,0,1,1,3,1,5,2,5,3,3,1,5,1,0,3,2,3
118,0,1,1,1,1,0,1,1,1,0,0,1,5,2,0,4,2,4,4,4,5,5,4,0,2,1,3
119,0,1,1,1,1,0,0,1,1,0,0,0,8,0,0,0,3,4,4,3,4,4,1,1,2,0,0
120,0,0,1,0,0,1,1,0,0,1,0,0,7,2,0,2,1,2,2,2,1,3,3,1,3,4,3
121,0,0,1,1,1,0,0,1,0,0,0,0,9,0,0,1,3,2,2,0,0,2,0,0,0,0,4
122,0,1,1,1,0,1,0,1,1,0,1,0,7,0,0,4,5,4,4,3,3,4,2,0,3,1,0
123,0,1,1,1,1,0,0,1,0,0,1,0,7,2,0,3,4,5,5,2,2,5,2,0,5,0,0
124,0,0,1,1,0,0,1,1,1,0,1,0,4,1,0,0,5,4,1,3,5,5,4,0,5,0,2
125,0,0,1,1,0,1,1,1,1,0,1,1,5,1,0,2,1,3,4,4,4,4,4,0,5,1,0
126,0,1,1,1,0,1,0,1,0,0,0,0,7,2,0,4,4,5,1,2,3,5,0,0,2,0,0
127,0,0,0,1,1,1,1,1,1,0,0,0,8,3,0,1,1,3,3,4,3,5,4,0,3,0,0
128,0,1,1,1,1,1,1,1,0,0,1,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
129,0,1,0,1,0,1,1,1,1,0,1,0,8,2,0,3,2,4,5,3,5,5,4,0,4,0,3
130,0,1,1,1,0,0,0,1,0,0,1,0,1,2,1,5,4,5,3,2,3,5,0,0,5,0,0
131,0,0,1,1,1,1,1,1,1,1,1,0,5,0,0,2,2,1,2,2,2,2,2,3,4,1,1
132,0,1,0,1,1,1,1,1,1,0,1,0,8,2,0,4,2,5,4,5,4,5,4,0,4,0,3
133,0,0,1,1,1,1,1,1,1,0,1,0,4,0,0,1,3,4,4,5,4,5,4,0,4,0,1
134,0,1,1,1,0,0,0,0,1,0,0,0,3,0,0,4,4,3,0,0,0,0,5,0,0,0,0
135,0,1,1,1,1,1,0,1,1,0,0,0,7,0,0,3,4,4,4,4,4,5,4,0,3,0,4
136,0,1,1,1,0,0,1,1,1,1,1,1,3,5,1,4,4,4,4,3,5,3,5,5,4,5,3
137,0,1,1,1,1,1,1,1,0,0,0,0,4,0,0,4,5,4,3,5,3,5,3,0,4,0,3
138,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,2,0,0,0,0,0
139,0,1,0,1,0,0,0,1,0,0,0,0,8,0,0,4,1,5,0,3,0,4,0,0,0,0,0
140,0,1,1,1,0,0,0,1,0,0,0,0,5,0,0,1,1,1,0,2,0,2,2,0,0,0,0
141,0,1,1,1,1,1,1,1,1,0,1,1,2,5,1,5,3,5,4,3,4,5,5,0,5,3,3
142,0,1,1,1,0,1,1,1,0,0,1,1,5,2,0,3,4,4,5,3,5,5,3,0,5,2,4
143,0,0,1,1,1,1,1,1,0,1,1,1,4,1,0,2,4,3,4,5,4,2,1,4,3,2,4
144,0,1,1,1,0,0,1,1,1,0,1,1,6,0,0,3,2,2,0,0,0,5,2,0,2,4,3
145,0,0,0,1,0,0,0,0,0,0,0,1,7,1,0,0,2,4,0,0,0,4,0,0,0,1,0
146,0,1,0,1,0,0,0,1,1,0,0,0,3,0,0,4,4,4,0,0,0,5,4,0,0,0,0
147,0,1,1,1,0,1,0,1,0,0,1,1,5,3,0,4,4,5,0,3,2,5,0,0,3,1,4
