ParticipantNumber,Condition,Age,Gender,FIRSTOBJECTIVE/10,FIRSTSUBJECTIVE/5,RTsubj/5,RTObjectiveScore,ColoursRecalled,NumColoursRecalled,HandLoweringObjectiveRating,HandsTogetherObjectiveRating,MosquitoObjectiveRating,ArmRigidityObjectiveRating,ArmImmobilisationObjectiveRating,MusicObjectiveRating,TasteObjectiveRating,AmnesiaObjectiveRating,VisualHallucinationObjectiveRating,PostHypnoticObjectiveRating,TotalObjectiveScoreWithoutPostSessionExp,HandLoweringSubjectiveRating,HandsTogetherSubjectiveRating,MosquitoSubjectiveRating,TasteSubjectiveRating,ArmRigiditySubjectiveRating,ArmImmobilisationSubjectiveRating,MusicSubjectiveRating,VisualHallucinationSubjectiveRating,AmnesiaSubjectiveRating,PostHypnoticSubjectiveRating,TotalSubjectiveScore,SweetObjRating,SweetObjYN,SourObjRating,SourObjYN,PreSuggestionRecall,PostSuggestionRecall,SweetSubRating,SourSubRating,PostHypnoticSub1,PostHypnoticSub2,ExperimentDuration,MASscore,MCSDScore,PSWQscore,RETEST,ParticipantNumber_48,Condition_49,Age_50,Gender_51,ColoursRecalled_52,NumColoursRecalled_53,VisualHallucinationObjectiveRating_54,PostHypnoticObjectiveRating_55,HandLoweringObjectiveRating_56,HandsTogetherObjectiveRating_57,MosquitoObjectiveRating_58,ArmRigidityObjectiveRating_59,ArmImmobilisationObjectiveRating_60,MusicObjectiveRating_61,TasteObjectiveRating_62,AmnesiaObjectiveRating_63,TotalObjectiveScoreWithoutPostSessionExp_64,HandLoweringSubjectiveRating_65,HandsTogetherSubjectiveRating_66,MosquitoSubjectiveRating_67,TasteSubjectiveRating_68,ArmRigiditySubjectiveRating_69,ArmImmobilisationSubjectiveRating_70,MusicSubjectiveRating_71,VisualHallucinationSubjectiveRating_72,AmnesiaSubjectiveRating_73,PostHypnoticSubjectiveRating_74,TotalSubjectiveScore_75,SweetObjRating_76,SweetObjYN_77,SourObjRating_78,SourObjYN_79,PreSuggestionRecall_80,PostSuggestionRecall_81,SweetSubRating_82,SourSubRating_83,PostHypnoticSub1_84,PostHypnoticSub2_85
2,1,21,0,7,3.72,1.15,4,RED BLUE GREEN,3,1,1,0,1,0,1,1,1,0,1,7,5,4,4,3,5,3,3,3,4,3.16228,37.1623,2,1,3,1,I FELT MY BODY RELAXING AND WHEN THE MOSQUITO SCENARIO CAME ON IT MADE ME EMOTIONAL FOR SOME REASON. IT MADE ME THINK ABOUT THE ,FIRST ASKED ME TO HOLD MY RIGHT ARM WITH PALM FACING UP AND IMAGINE AN OBJECT. ASKED ME TO SEE THE BALLS ON THE SCREEN. ASKED ME,3,3,5,2,79.824,32,14,48,1,2,0,21,0,BLUE GREEN RED,3,0,0,1,1,0,1,0,0,1,0,4,3,2,1,0.5,3,1,0,0,1,0,11.5,1,1,1,0,"I WAS ASKED TO TYPE THE BALLS ON THE SCREEN- COLOUR. MOSQUITO ON MY HAND. HAPPYY BIRTHDAY SSONG, PRESS SPACE BAR 6 TIMES WHEN I ",WALKED DOWN STEPS WHILST HE COUNTED 0-20. MOSQUITO WANTED TO BITE ME.,1,0,5,0
6,1,18,0,3,1.47,1.1,3,RED GREEN BLUE,3,0,1,0,0,0,0,1,0,0,1,3,3,3,2,1,2,1,0,0,1,1.73205,14.7321,1,0,2,1,"HELD OUT MY RIGHT ARM TWICE. IMAGINED HOLDING SOMETHING HEAVY AND THEN IMAGINED MY ARM STIFF. SAW PICTURE OF THREE BALLS, TOLD T","SUPPOSED TO HEAR HAPPY BIRTHDAY PLAYING, DIDN'T HEAR ANYTHING. PUT BOTH ARMS OUT AND THEY DREW IN TOGETHER.",0,2,3,1,74.2675,24,16,66,1,6,0,18,0,"BLUE, GREEN, RED",3,0,1,1,1,0,0,0,0,0,0,3,3,2,2,0,1,1,1,0,1,0,11,1,0,1,0,STRETCHED RIGHT ARM OUT TO FEEL THE WEIGHT OF A BALL IN MY HAND. STRETCHED ARM OUT TO FEEL THEM BEING PULLED TOGETHER. SAW A PIC,MEANT TO HEAR HAPPY BIRTHDAY PLAYING - I DID NOT. FEEL A MOSQUITO ON MY HAND.,0,0,4,0
18,0,20,0,3,1.15,1.5,4,GREEN BLUE RED,3,1,1,0,0,0,0,1,0,0,0,3,4,1,0,0.5,2,2,0,0,2,0,11.5,2,0,2,1,"FIRSTLY TO LIFT RIGHT ARM UP AND WITH PALM FACING UPWARDS, HAND GOT HEAVY AND STARTED LOWERING. SECONDLY TO LIFT BOTH ARMS UP AN","ARM UP AND FEEL IT GETTING HEAVY, BOTH ARMS FACING AND GOING TOWARDS EACHOTHER, ARM GETTING STIFF. THEN TOLD TO DO THIS TASK AND",0,1,0,1,68.4163,21,19,50,1,18,1,20,0,GREEN RED BLUE,3,0,1,1,1,0,0,0,1,0,0,4,3,3,0,1,2,3,1,0,2,0,15,2,0,1,0,"HAND UP AND WEIGHT, BOTH HANDS FACING MAGNET, MOSQUITO, HAPPY BIRTHDAY SINGING GETTING LOUDER, PRESS SPACE BAR SIX TIMES WHEN PL","RAISE HAND WHEN YOU HEAR HAPPY BIRTHDAY, SWEET TASTE IN MOUTH THEN TURNS SOUR, BOWLING BALL IN HAND WHEN IT WENT HEAVY, LEFT HAN",2,0,5,0
20,0,21,0,3,2.1,2.2,4,RED GREEN BLUE,3,1,1,0,1,0,0,0,0,0,0,3,5,4,0,0,4,3,0,0,5,0,21,2,0,1,0,"RMS INFROT OF ME WHILE SENSATIONS WERE DESCRIBED , SENSES WERE DESCRIBED SUCH AS SOUND OF A MOSQUITO AND IT LANDING ON MY HAND, ",I COULD FEEL THE SENSATION OF WEIGHT PUSHING MY ARM DOWN REALLY STRONGLY BUT I COULDNT HEAR OR TASTE THINGS DESCRIBED TO ME. ONE,0,0,5,0,66.0926,25,15,57,1,20,1,21,0,BLUE GREEN RED,3,0,1,1,1,0,1,0,0,0,0,4,5,4,0,0,3,1,0,0,4,5,22,1,0,1,0,"RIGHT HAND OUT FELT HEAVY, BOTH HANDS OUT FORCED TOGETHER, MOSQIUITO SOUND AND LANDING ON AM, HAPPY BIRTHDAY PLAYED AT VARIOUS V","RIGHT ARM STIFF LIKE IN SPLINT, ASKED TO TRY TO BEND IT ",0,0,5,5
21,1,18,1,6,3.1,0.9,3,BLUE GREEN RED,3,0,1,1,1,1,0,1,0,0,1,6,3,5,5,5,5,5,0,0,3,0,31,3,1,4,1,I WAS ASKED TO STARE AT THREE BALLS THAT WERE BLUE GREEN AND RED THEN I WAS ASKED TO PRESS THE SPACE BAR 6 TIMES BUT FORGET THAT,EVERYTHING I REMEMBER NOW I ALREADY REMEMBERED,5,5,5,0,73.0408,25,13,57,1,21,0,18,1,BLUE GREEN RED,3,0,0,1,1,1,0,0,0,0,0,3,3,3,0,3,0,0,0,0,0,0,9,3,0,3,0,"WAS TOLD MY HAND HAD A HEAVY OBJECT IN IT, WAS TOLD I WOULD BE ABLE TO HEAR A MOSQUITO, WAS TOLD I WAS BEING PLAYED HAPPY BIRTHD",,3,3,1,0
24,0,18,0,3,2.7,1.9,4,,0,1,0,0,1,1,0,0,0,0,0,3,4,5,0,2.5,5,5,0,0,2,3.4641,26.9641,1,0,4,0,"LEFT HAND FEELING HEAVY, PUTTNG RIGHT HAND UP WHEN HEARING HAPPY BIRTHDAY , PUTTING RIGHT HAND AT SHOULDER LEVEL AND FEELING IT ","SWEET TASTE AND ACID TASTE IN MOUTH, MOSQUITO ON RIGHT HAND, SPACEBAR 6 TIMES",0,5,4,3,64.1459,26,15,41,1,24,1,18,0,BLUE ORANGE GREEN,3,0,0,1,1,0,0,1,0,1,0,4,4,4,0,1,3,5,0,0,0,2,19,2,1,3,1,"LEFT HAND HEAVY, RIGHT ARM STIFF, RIGHT HAND HEAVY BALL, HAPPY BIRTHDAY, SWEET AND BITTER TASTE, MOSQUITO BUZZING, SPACEBAR 6 TI","THE COUNTING, HEAVY BODY, SINKING IN CHAIR",0,2,2,2
29,1,18,0,2,1,0.7,2,GREEN BLUE ORANGE,3,0,1,0,1,0,0,0,0,0,0,2,3,2,0,0,3,2,0,0,0,0,10,1,0,1,0,TOLD TO RELAX SIT COMFORTABLY WITH MY HANDS IN LAP. ONCE RELAXED PUT MY RIGHT ARM UP WITH PALM FACING UP THEN HAD A WEIGHT ON MY,HANDS HEAVY ON LAP.,0,0,1,0,70.3032,28,11,58,1,29,0,18,0,,0,0,1,1,0,0,0,0,0,0,0,2,3,2,0,0,1,1,0,0,0,0,7,1,0,1,0,HOLD HAND OUT AND FEEL WEIGHT. FEEL HANDS COMING TOGETHER. KEEP ARM STIFF. MOSIQUTO. 3 BALLS. HAPPY BIRTHDAY PRESS SPACE BAR 6 T,,0,0,0,0
30,0,18,0,6,2.29,2.45,6,BLUE GREEN RED,3,1,1,1,1,1,0,1,0,0,0,6,5,3,1,0.5,4,3,0,0,4,2.44949,22.9495,2,1,1,1,"I WAS TOLD THAT EVERYTHING THAT HAPPENS I MUST FORGET, BUT THEN AFTER A WHILE I MUST REMEMBER EVERTHING AGAIN. I WAS TOLD TO PRE",CAN'T REMEMBER ANYTHING ELSE,1,0,3,2,68.0093,34,13,65,1,30,1,19,0,BLUE GREEN RED,3,0,1,1,1,1,1,0,0,1,0,6,4,4,2,0.5,5,3,0,0,3,3,24.5,1,1,1,1,"HEAVY ARM, COLOURED BALLS, FORCE BETWEEN HANDS, STIFF ARM, HEAVY HAND, MOSQUITO, SWEET AND SOUR TASTE, GENERALLY ",HEARING HAPPY BIRTHDAY,1,0,3,3
33,0,19,0,5,2.05,2.1,4,BLUE GREEN ORANGE,3,1,1,0,0,0,0,1,1,0,1,5,5,4,0,1.5,4,3,0,0,3,0,20.5,1,0,3,1,"HELD OUT RIGHT ARM. HELD HEAVY OBJECT. HELD OUT BOTH ARMS, PALMS FACING TOAWRDS EACH OTHER. NUMB LEFT",REMEMBER COLOURED BALLS ON SCREEN. MOSQUITO FLYING BY RIGHT HAND. LEFT HAND NUMB. HEARD HAPPY BIRTHDAY SINGING. SOUR TASTE AND S,0,3,5,0,60.653,38,15,74,1,33,1,19,0,GREEN BLUE ORANGE,3,0,0,1,1,0,1,1,0,0,0,4,5,5,0,0,4,4,0,0,3,0,21,1,0,1,0,"HEAVY RIGHT ARM, STIFF RIGHT ARM, HANDS BEING PULLED TOGETHER, MOSQUITO, SOUR AND SEET TASTE, PRESS SPACEBAR 6 TIMES, COLOUR BAL","BEING TOLD TO RELAX, HEAVY RIGHT ARM, STIFF ARM, HANDS BEING PULLED TOGETHER, MOSQUITO FLYING, SWEET TASTE IN MOUTH, SOUR TASTE ",0,0,0,5
38,1,20,1,2,1.9,1.35,1,BLUE GREEN ORANGE,3,0,1,0,0,0,0,1,0,0,0,2,3,4,0,2,3,4,0,0,3,0,19,3,1,2,1,"RIGHT ARM AT SHOULDER LENGTH, PALM UP. IMAGINE HOLDING A HEAVY OBJECT. BOTH ARMS UP AT SHOULDER LENGTH WITH PALMS FACING EACH OT","BOTH HANDS ON LAP. RELAX, FEEL HEAVY BUT COMFORTABLE. RAISE RIGHT ARM TO SHOULDER HEIGHT FOR A SECOND TIME BUT THE ELBOW FEELS S",3,1,0,2,62.8429,9,24,36,1,38,0,20,1,BLUE GREEN ORANGE,3,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1.5,3,2,0,0,0,5,13.5,2,0,2,0,"PRESS SPACE BAR 6 TIMES, SWEET TASTE IN MOUTH, SOUR TASTE IN MOUTH, MOSQUITO SOUND, HEAR HAPPY BIRTHDAY, PICTURE OF THREE BALLS,","IMAGINE WALKING DOWN 20 STEPS, ",1,2,5,5
61,1,19,0,5,2.18,2.4,4,BLUE GREEN ORANGE,3,1,1,1,1,0,0,1,0,0,0,5,4,4,3,0,3,2,0,0,3,2.82843,21.8284,1,1,1,1," MOSQUITP HAND OUT, HEAVY HAND, HAPPY BIRTHAY BUT NO ACTUALLY SOUND, MOSQUITO SOUND, BOWLING BALL, COLOUR OF THE 3 BALLS WHICH W","RELAXATION, REALX BODY, FOCUS ON WORDS SAID , FOLLOW INSRUCTIONS TINLGING IN ARM",0,0,4,2,71.2639,37,24,78,1,61,0,19,0,GREEN ORANGE BLUE,3,0,0,1,1,1,0,0,0,1,0,4,4,4,2,2,3,3,0,0,1,5,24,2,1,2,1,CLOSED EYES ARM OUT PALM FACING UP HOLDING HEAY OBJECT ARM DOWN TO ARMS  UP FACING ONE ANOTHER FOOT APART COMING CLOSER TOGETHER,"BRUSHING OFF MOSQUITO ,                                                                ",2,2,5,5
65,0,18,0,5,1.8,0.8,2,GREEN BLUE RED,3,1,1,1,1,0,0,1,0,0,0,5,4,5,2,0,3,2,0,0,2,0,18,1,1,1,1,"HEAVY HAND, STIFF ARM, COLOURED BALLS, WALKING DOWN STAIRS",SWEET AND SOUR TASTE,0,0,5,0,64.3957,30,16,57,1,65,1,18,0,GREEN BLUE RED,3,0,0,1,1,0,0,0,0,0,0,2,4,3,0,0,0,1,0,0,0,0,8,1,0,1,0," HEAVY RIGHT ARM, MAGNETIC HANDS, MOSCITO, 3 BALLS, HEAVY LEFT HAND IN LAP",SPACE BAR PRESS,0,0,5,0
68,1,16,0,4,2.12,0.6,3,BLUE RED GREEN,3,1,1,0,0,0,0,1,0,0,1,4,5,4,1,1,2,2,0,0,3,3.16228,21.1623,2,0,2,1,"RAISE YOUR ARM, IT FEELS HEAVY, IT GOES DOWN. RAISE BOTH ARMS, THEY ARE ATTRACTED TO EACH OTHER. THE FIRST ARM TO RAISE WAS THE ","RAISE YOUR RIGHT HAND IF YOU HEAR TH BIRTHDAY SONG. THE VOLUME AT WHICH IT IS PLAYED HAS SEVERAL LEVELS. SENSE A SWEET TASTE, IT",1,1,5,2,64.0908,19,15,38,1,68,0,16,0,BLUE GREEN RED,3,0,0,0,1,0,1,1,0,0,0,3,3,1,0,0,1,1,0,0,0,0,6,1,0,1,0,"RIGHT ARM HOLDING SOMETHING HEAVY, BOTH ARMS ATTRACTED TO EACH OTHER, MOSQUITO SOUND, SWEET AND SOUR TASTES, HEAVY LEFT ARM, BIR","STATE THE COLOUR OF THE BALLS, FORGET EVERYTHING UNTIL TOLD YOU CAN REMEMBER",0,0,1,0
70,0,20,0,6,2.73,2.89,6,BLUE ORANGE GREEN,3,1,1,1,1,1,0,1,0,0,0,6,4,3,3,2.5,5,4,0,0,3,2.82843,27.3284,4,1,2,1,"HEAVY HAND, DIFFERENT COLOUR BALLS, PULLING HANDS TOGETHER, PRESSING SPACE BAR 6TIMES,","WALKING DOWN THE STAIRS, HEAVY BALL IN RIGHT HAND, IMAGINING TWO BALLS",4,1,4,2,68.3442,36,15,65,1,70,1,20,0,BLUE RED GREEN,3,0,1,1,0,1,1,1,0,1,0,6,5,3,3,4,5,4,0,0,1,3.87298,28.873,4,1,3,1,"STIFF ARM, MOSQUITO, BALLS, PULLING HANDS TOGETHER, HEAVY BOWLING BALL, HEAVY HAND","PRESS SPACE  TIMES, HAPPY BIRTHDAY, TASTE SWEET, TASTE SOUR, ",5,3,5,3
71,1,17,0,7,2.4,1.4,5,BLUE GREEN RED,3,1,1,1,1,1,0,1,0,0,1,7,5,3,3,1,5,3,0,0,4,0,24,1,0,3,1,"I WAS ASKED TO LIFT MY HAND AND PRETEND LIKE I WAS HOLDING SOMETHING HEAVY, I WAS ASKED TO MAKE MY HAND STIFF. I WAS ASKED TO LO",I WAS MEANT TO PRESS THE SPACE BAR 6 TIMES WHEN I WAS THE WORDS PLEASE WAIT ON THE SCREN. I WAS TOLD TO FORGET EVERYTHING I WAS ,0,2,5,0,69.7589,37,16,79,1,71,0,18,0,BLUE GREEN RED,3,0,1,1,1,1,1,0,0,0,0,5,1,5,3,0,5,0,0,0,0,0,14,1,0,1,0,"SEEING BALLS, ARM STIFFNESS, ARM HEAVINESS, MISQUITO, HAPPY BIRTHDAY, TASTE TESTS, BEING TOLD TO FORGET THINGS, THE 6 SPACE BAR ",CAN'T THINK OF ANYTHING I HAVEN'T YET MENTIONED,0,0,5,0
77,0,18,0,6,2.12,1.4,4,RED GREEN BLUE,3,1,1,0,1,1,0,1,0,0,1,6,4,4,1,2,4,3,0,0,1,2.23607,21.2361,2,1,2,0,"HOLD OUT RIGHT ARM AND FEEL OBJECT ON IT, ARM FALLING, HOLD PALMS OUT FACE EACH OTHER, MOVE TOWARDS EACH OTHER, LEFT HAND AND AR","OBJECT IN HAND IS BOWLING BALL, ARM IS STIFF AND CANNOT BEND, MOSQUITO ON HAND BUZZING THROUGHOUT, NUMB TINGLING SENSATION IN LE",2,2,5,1,65.1436,30,17,64,1,77,1,18,0,GREEN BLUE RED,3,0,1,1,1,0,1,0,0,0,0,4,5,4,0,0,4,1,0,0,0,0,14,1,0,1,0,"HOLD HAND, HEAVY. MOSQUITO BUZZING. HAPPY BIRTHDAY PLAYING. HANDS MOVE TOGETHER. HEAVY HANDS. SPACE BAR 6 TIMES. STIFF ARM. SOUR",HANDS HEAVY ON LAP.,0,0,3,0
87,1,20,0,0,1.38,0.75,1,GREEN BLUE RED,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,3,0,0,3,2.82843,13.8284,2,0,1,0,"HOLDING HEAVY BALL, STIFF ARM, FEELING MOSQUITO, HEAVY LEFT ARM THAT COULDNT PIK UP, THREE BALLS, HIT SPACE SIX TIMES","FORCE BETWEEN PALMS PULLING THEM CLOSER, NOTHING ELSE ADDITIONAL",0,0,4,2,61.0588,25,10,66,1,87,0,20,0,BLUE RED GREEN,3,0,0,0,0,0,0,1,0,0,0,1,3,1,0,0.5,2,1,0,0,0,0,7.5,2,0,1,0,"HOLD STIFF ARM, HEAVY OBJECT, MOSQUITO, HAPPY BDAY, SPACE BAR 6, FORCE BETWEEN HANDS, HEAVY LEFT HAND, FORGET WHAT HAPPENED",THREE BLUE GREEN RED BALLS,1,0,5,0
88,0,18,0,7,2.35,1.35,2,GREEN BLUE RED,3,1,1,1,1,1,0,1,0,0,1,7,5,4,3,1.5,5,3,1,0,1,0,23.5,1,1,3,1,TOLD TO LIFE MY RIGHT ARM UP. PRETEND AS IF IM HOLDING A BOWLING BALL AND IMAGINE THAT MY ARM IS GETTING HEAVIER AND HEAVIER. IW,LEFT ARM I WAS TOLD TO HOLD UP ABOVE THE TABLE AND IMGAINE AS IF SOMETHING WAS HAPPENING. I WAS TOLD TO PLACE MY HANDS ON MY LEG,0,3,5,0,58.9183,25,14,54,1,88,1,18,0,RED BLUE AND GREEN,3,0,0,1,1,0,0,0,0,0,0,2,4,4,1,1.5,2,1,0,0,0,0,13.5,3,0,1,0,"HOLD HAND OUT AND SEE HOW HEAVY IT FEELS, TRY TP BEND YOUR ELBOW, NAME THE COLOUR OF THE TWO BALLS, FORCE PUSHING HANDS CLOSE TO","SINGING HAPPY BIRTHDAY TO ME, REST HANDS ON MY LAP, SOMETHING ON MY HAND, WIPPE IT OFF",3,0,5,0
99,0,19,0,6,2.25,2.27,6,BLUE,1,1,1,1,1,1,0,1,0,0,0,6,5,4,0,0,5,3,0,0,2,3.4641,22.4641,1,1,1,1,SPOKE ABOUT HEAVY HANDS AND THEN NUMN AND THEN TALKED ABOUT HOW SWEET MY MOUTH WAS BUT IT DIDNT FEEL SWEET AND THEN HEAVY HAND A,"WE STARTED WITH HEAVY ARMS, NUMB, THEN HANDS PULLING TOWARDS EACH OTHER, THEN MOUTH BUT I DIDNT TASTE ANYTHING SWEET OR SOUR AND",0,0,3,4,65.3821,36,11,77,1,99,1,19,0,REDGREENBLUE,3,0,0,1,1,1,1,1,0,1,0,6,4,4,2,2,4,3,0,0,2,1.73205,22.7321,1,1,1,1,"HEAVY HAND, FORCE DRIVING TWO HANDS TOGETHER, THREE COLOURED BALLS, SPACE BAR, HAPPY BIRTHDAY, MOSQUITO, SPLINT. FOOT IS HEAVY, ","HEAVY HAND ON THE RIGHT, SPLINT, HAPPY BIRTHDAY, MOSQUITO ON ARM, FORE DRIVING BOTH HANDS TOGETHER, TASTE OF SWEET TO SOUR, HEAV",2,2,3,1
109,1,18,1,8,3.15,2.49,4,GREEN BLUE RED,3,1,1,1,1,1,0,1,1,0,1,8,5,3,4,3.5,5,3,0,0,4,4,31.5,4,1,4,1,"DEEP RELAXATION, HEAVINESS IN MY RIGHT ARM, PRESENCE OF A MOSQUITO, COLOURED BALLS, STIFFNESS IN MY RIGHT ARM, MY HA","MY HANDS FELT ATTRACTED TO EACH OTHER, HAPPY BIRTHDAY WAS SUPPOSED TO PLAY, SWEET AND SOUR FLAVOURS, THE HEAVINESS IN MY HAND WA",3,4,4,4,63.8666,41,11,70,1,109,0,18,1,RED BLUE GREEN,3,0,0,1,0,1,1,0,0,1,0,4,5,2,3,3.5,5,3,0,0,2,1.41421,24.9142,4,1,3,0,"RIGHT HAND FELT LIKE IT WAS WEIGHED DOWN BY A BOWLING BALL, RIGHT ARM STIFF AS IF SPLINTED, LEFT HAND HEAVY, SWEET AND SOUR TAST","HANDS BEING PULLED TOWARDS EACH OTHER, HAPPY BIRTHDAY TASK",4,3,1,2
122,0,21,0,3,1.6,0.4,1,BLUE GREEN ORANGE,3,0,1,0,0,1,0,0,0,0,1,3,3,4,0,0,5,3,0,0,1,0,16,1,0,1,0,RAISED MY RIGHT HAND UP AND WAS TOLD YOU LET IT FEEL HEAVY LOOKED AT BALLS ON SCREEN LET LEFT AND RIGHT HAND GET CLOSE TOGETHER ,IMAGINE A MOSQUITO ON HAND AND TO SWAT IT AWAY. IMAGINE MY LEFT HAND AND ARM GETTING HEAVY. IMAGINE RIGHT HAND BEING STIFF. IMAG,0,0,5,0,61.5801,19,7,69,1,122,1,21,0,"RED, GREEN, ORANGE",3,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,4,1,0,1,0,"RIGHT HAND OUT IN FRONT, BOTH HANDS TOGETHER, LEFT HARND FEELING HEAVY, SWEET TASTE IN MOUTH, SOUR TASTE IN MOUTH, MOSQUITO HEAR","PRESS SPACE BAR SIX TIMES,",0,0,5,0
132,1,19,0,7,3.24,2.5,5,GREEN RED,2,1,1,1,1,0,0,1,0,1,1,7,5,4,4,5,5,2,0,3,2,2.44949,32.4495,4,0,4,1,"PLACED MY ARMS OUT IN FRONT OF ME. SAW BALLS ON A SCREEN. HEAVY HAND. MOSQUITTO. SWEET, SOUR.",HELD A BOWLING BALL. HEAVY HAND. TASTED SWEET THEN SOUR. MOSQUITTO BUZZING AND LANDED ON MY HAND. ARMS PULLED TOGETHER. SAW COLO,5,5,3,2,71.406,21,24,58,1,132,0,19,0,RED BLUE GREEN,3,0,0,1,1,0,1,1,0,1,0,5,5,4,3,4,5,3,1,0,0,0,25,3,1,3,1,HEAVY ARM BALLS HAPPY BIRTHDAY MOSQUITTO SPLINT TASTE ARMS PUSHED TOGETHERHEAVY HAN,SPACE,4,4,4,0
136,0,19,0,4,2.05,1.17,3,BLUE GREEN RED,3,1,1,0,1,1,0,0,0,0,0,4,4,3,1,0,3,3,0,0,3,3.4641,20.4641,1,0,1,0,WALKING DOWN STAIRS TO COUNTING IMAGINING HOLDING A HEAVY WEIGHT IN MY HAND IMAGINING MY HANDS BEING PUSHED TOWARDS EACH OTHER I,"BEING TOLD THAT MY RIGHT ARM WAS STUFF, AS THOUGH IN A SPLINT AND UNABLE TO BEND. IMAGINING A MOSQUITO THAT FLEW AROUND MY HEAD ",0,0,4,3,61.1326,20,18,52,1,136,1,19,0,RED BLUE GREEN,3,0,1,1,0,0,1,0,0,0,0,3,3,2,0,0,3,1,0,0,1,1.73205,11.7321,1,0,1,0,"IMAGINING YOUR ARM FEELING HEAVY, AS THOUGH YOU ARE HOLDING AN OBJECT. IMAGINING YOUR ARM IS STIFF, AS THOUGH IN A SPLINT. IMAGI",IMAGINING A MOSQUITO AROUND MY HEAD,0,0,3,1
140,0,20,0,5,2.35,0.85,2,RED GREEN BLUE,3,1,0,1,1,0,0,1,0,0,1,5,4,1,5,3.5,5,3,0,0,2,0,23.5,3,0,4,0,"HEAVY OBJECT, HEAVY ARM, MAGNETIC HANDS, SWEET AND SOUR TASTE, HAPPY BIRTHDAY SONG, COLOUR OF BALLS",STIFF ARM,3,4,5,0,77.7179,24,17,62,1,140,1,20,0,BLUE ORANGE GREEN,3,0,0,1,1,0,0,0,0,0,0,2,3,2,0,1.5,1,1,0,0,0,0,8.5,2,0,3,0,"HEAVY ARM, STIFF ARM, MOSQUITO, SWEET AND SOUR TASTE, HAPPY BIRTHDAY, HEAVY LEFT ARM AND HAND, MAGNETIC HANDS, PRESSING SPACE BA",,1,2,4,0
142,1,19,0,1,0.6,0.9,1,BLUE GREEN RED,3,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,1,1,0,0,0,0,6,1,0,1,0,"ASKED TO HOLD OUT RIGHT HAND TO TO IMAGINE A WEIGHT, THEN ASKED TO HOLD OUT BOTH HANDS AND IMAGINE A FORCE BRINGING THEM TOGETHE",,0,0,1,0,73.1791,36,14,71,1,142,0,19,0,BLUE GREEN RED,3,0,0,1,0,0,0,0,0,0,0,1,3,4,0,0,1,0,0,0,1,0,9,1,0,1,0,TOLD TO HOLD OOUT RIGHT ARM AND IMAGINE IT BECOMS HEAVY. HOLD OUT BOTH ARMS AND IMAGINE THEY ARE BEING PULLED TOGETHER. ASKED F ,,0,0,0,0
144,1,21,0,7,3.09,3.28,7,BLUE RED GREEN,3,1,1,1,1,0,0,1,1,0,1,7,5,4,5,2.5,5,3,1,0,3,2.44949,30.9495,3,1,2,1,"EYES BEEN CLOSED AND ASKED TO RELAX, RELAX EVERY MUSCLE. RIGHT ARM UP, PALM FACING UP. FELT VERY HEAVY, GRADUALLY GOT HEAVIER. L","COUNT UP TO 20. TOLD TO RELAX. BALLS ON THE SCREEN, ASKED WHAT COLOURS THEY WERE. MOSQITO, ANNOYED ME. HAD TO BRUSH IT AWAY. LIS",3,2,3,2,72.6511,47,18,75,1,144,0,21,0,BLUE GREEN RED,3,0,1,1,1,1,1,0,0,1,1,7,5,5,5,3,4,2,0,3,3,2.82843,32.8284,2,1,3,1,RIGHT ARM FELT HEAVY - MOSQITO ON RIGHT HAND - LEFT HAND HEAVY - COULDNT LIFT-,SWEET AND SOUR TASTE IN MOUTH - HANDS FELT MAGNETIC - DRAWN TO EACHOTHER - TOLD TO HEAR HAPPY BIRHTDAY - COLOURS OF THE BALLS - ,2,4,2,4
145,1,19,0,4,2.77,2.47,6,RED BLUE GREEN,3,1,0,1,0,0,0,1,0,0,1,4,5,2,3,3.5,5,4,0,1,2,2.23607,27.7361,3,1,3,1,"I WAS TOLD TO RELAX EVERY PART OF MY BODY. I WAS TOLD TO IMAGINE MY HAND GETTING HEAVIER, THEN IMAGINE IT BEING STIFF. I HAD TO ","SEEING A PICTURE OF GREEN RED AND BLUE BALLS, IMAGINING A SWEET AND SOUR TASTE IN MY MOUTH, MY LEFT HAND GETTING HEAVIER",4,3,5,1,84.7175,30,19,55,1,145,0,19,0,BLUE RED GREEN,3,0,1,1,1,1,1,0,0,1,0,6,5,2,2,2.5,5,4,1,1,0,2.23607,24.7361,3,1,2,0,"RIGHT HAND BEING STIFF, LEFT HAND HEAVY ON LAP, SWEET TASTE IN MOUTH, SOUR TASTE IN MOUTH, MOSQUITO SOUND, HAPPY BIRTHDAY RECORD","RIGHT HAND OUT AND FEELING HEAVY, PRESSING SPACE BAR 6 TIMES, BOTH HANDS WITH PALMS TOWARDS EACH OTHER GETTING CLOSER, BRUSHING ",4,1,5,1
