Durationinseconds,age,gender,Q20_PageSubmit,Q1_1,Q2_1,Q3_1,Q4_1,Q5_1,Q6_1,Q7_1,Q8_1,Q9_1,Q10_1,Q11_1,Beliefquestions_1,Beliefquestions_2,Beliefquestions_3,Beliefquestions_4,Beliefquestions_5,Beliefquestions_6,Beliefquestions_7,Beliefquestions_8,past_life_experience,out_of_body_experience,spirit_world_experience,past_life_belief,out_of_body_belief,spirit_world_belief,Combined_anomalous_experience,CODE,age...34,gender.x,@1handlowersubj.x,@2handtogethersubj.x,@3mosquitosubj.x,@4TasteAverage.x,@5rigidsubj.x,@6immobilizationsubj.x,@7musicsubj.x,@8ballssubj.x,@9amnesiasubj.x,@10spaceGeoMean.x,@10spacebarsubj1.x,@10spacebarsubj2.x,@4Tastesweetsubj.x,@4Tastesoursubj.x,Q25_1,Q25_2,Q25_3,Q25_4,Q25_5,Q25_6,Q25_7,Q25_8,Q25_9,Q25_10,Q25_11,Q25_12,Q25_13,Q25_14,Q25_15,Q25_16,Q25_17,Q25_18,Q25_19,Q25_20,Q25_21,Q25_22,Q25_23,Q25_24,Q25_25,Q25_26,Q25_27,Q25_28,DEStime_PageSubmit,DES_score,DES_mean_centred,PCS,PCS_meancentred,DESxPCS
151,18,Another,58.089,0,0,0,5,5,3,0,0,0,0,0,-2,-2,-1,0,-2,2,-1,-2,0,4.333333333,0,-2,-0.5,-0.75,1.444444444,379,18,Non-binary,0,5,0,0,1,2,0,0,2,2.236067977,5,1,0,0,9,9,6,1,0,4,8,7,9,1,10,10,9,0,6,5,9,9,8,10,3,7,0,2,0,0,7,9,282.67,5.642857143,3.026393728,1.223606798,-0.565541545,-1.712
122,18,Woman,58.908,2,2,0,3,3,3,2,1,0,0,1,1,0,1,0,1,1,0,0,1.333333333,3,0.8,0.5,0.5,0.5,1.711111111,458,18,Woman,5,2,5,4,4,4,0,0,4,2.24,5,1,3,5,9,9,7,7,9,6,3,2,9,9,3,3,3,6,8,9,4,6,4,8,9,8,6,6,5,2,1,1,158.561,5.785714286,3.169250871,3.024,1.234851657,3.914
246,19,Woman,15.395,2,1,3,2,3,1,3,1,3,2,2,0,-1,0,-1,2,-1,0,-1,2,2,2.2,-0.5,-0.5,0,2.066666667,713,18,Woman,2,4,1,1.5,3,2,4,0,1,1.41,2,1,0,3,7,5,7,5,9,1,8,5,8,6,4,8,5,5,8,4,7,6,6,3,10,6,7,4,8,6,4,8,35.877,6.071428571,3.454965156,1.991,0.201851657,0.697
247,18,Woman,96.801,2,1,2,4,4,2,4,4,3,3,3,1,1,2,1,2,2,1,1,1.666666667,3.333333333,3.4,1,1.5,1.5,2.8,126,18,Woman,4,2,3,3,3,4,0,1,2,4,4,4,3,3,9,9,9,4,6,7,7,4,3,9,9,7,6,5,5,3,4,7,7,10,8,6,7,3,3,2,7,6,188.134,6.142857143,3.526393728,2.6,0.810851657,2.859
110,19,Woman,56.099,4,5,4,5,4,3,2,0,2,0,2,2,2,2,0,2,1,2,2,4.333333333,4,1.2,2,1,1.75,3.177777778,125,19,Woman,5,4,1,1.5,3,2,0,0,4,0,5,0,3,0,9,8,1,0,6,7,6,0,7,0,6,9,9,8,8,6,10,9,4,10,9,9,8,7,6,1,2,10,188.002,6.25,3.633536585,2.05,0.260851657,0.948
178,18,Woman,75.526,0,0,2,5,5,5,0,0,0,0,3,0,0,1,-1,-2,-2,1,-1,0.666666667,5,0.6,0,0,-1,2.088888889,392,18,Woman,5,4,0,0,4,4,0,0,1,0,0,0,0,0,1,8,4,2,1,1,9,0,5,3,9,9,9,9,9,7,9,9,2,9,9,10,6,8,8,5,6,9,310.501,6.285714286,3.669250871,1.8,0.010851657,0.04
483,19,Woman,159.896,2,1,0,5,5,3,1,0,0,2,1,1,1,0,-1,0,1,0,0,1,4.333333333,0.8,1,-0.5,0.25,2.044444444,826,18,Woman,5,2,1,1,3,0,0,0,0,0,0,0,1,1,6,6,8,1,2,3,8,0,2,8,5,8,9,9,4,8,10,8,9,9,4,8,8,6,5,6,8,8,260.405,6.285714286,3.669250871,1.2,-0.589148343,-2.162
211,18,Woman,143.951,1,2,2,3,4,4,1,3,2,3,2,1,1,0,0,1,1,2,2,1.666666667,3.666666667,2.2,1,0,1.5,2.511111111,381,18,Woman,3,4,1,1.5,5,2,0,0,2,0,5,0,2,1,6,8,8,8,4,8,6,8,3,8,5,10,5,9,5,9,5,8,4,9,3,6,9,3,8,4,6,3,390.509,6.357142857,3.740679442,1.85,0.060851657,0.228
186,18,Woman,120.317,5,0,0,3,3,0,0,0,3,0,0,0,-1,1,1,-1,1,1,0,1.666666667,2,0.6,-0.5,1,0.25,1.422222222,323,18,Woman,4,3,0,0,4,2,0,0,5,0,0,3,0,0,5,7,5,2,6,3,8,0,3,8,2,7,6,9,7,8,3,8,8,9,9,10,10,10,8,4,10,3,354.158,6.357142857,3.740679442,1.8,0.010851657,0.041
332,18,Woman,144.478,0,2,0,5,1,2,4,0,2,0,4,0,1,1,0,2,1,1,1,0.666666667,2.666666667,2,0.5,0.5,1.25,1.777777778,400,18,Woman,4,5,1,0,5,4,2,0,3,0,5,0,0,0,8,9,5,2,3,4,7,4,8,5,8,10,7,2,8,5,7,8,9,8,9,7,7,9,8,4,3,6,320.347,6.428571429,3.812108014,2.4,0.610851657,2.329
15898,20,Woman,72.842,0,0,0,4,0,0,0,5,0,4,0,0,1,1,1,-1,1,-1,1,0,1.333333333,1.8,0.5,1,0,1.044444444,727,19,Woman,1,1,0,1.5,0,1,0,0,0,0,0,5,1,2,8,8,6,7,8,6,7,4,6,7,6,7,7,8,6,6,5,6,6,7,7,6,7,7,6,7,6,7,54.634,6.571428571,3.954965156,0.45,-1.339148343,-5.296
136,19,Woman,68.626,2,1,4,5,5,5,4,1,0,0,0,1,1,1,0,-1,-2,-2,-2,2.333333333,5,1,1,0.5,-1.75,2.777777778,635,18,Woman,4,3,1,1.5,3,3,0,0,1,0,5,0,2,1,4,7,6,6,8,2,7,3,8,9,9,5,8,5,9,7,8,4,5,9,9,3,7,10,6,5,9,8,134.316,6.642857143,4.026393728,1.65,-0.139148343,-0.56
201,20,Woman,113.289,3,3,1,1,1,1,3,1,1,0,3,1,1,2,1,0,1,2,2,2.333333333,1,1.6,1,1.5,1.25,1.644444444,157,19,Woman,3,5,3,3.5,4,4,0,0,2,2.828427125,2,4,3,4,8,9,9,5,4,3,7,1,5,8,6,9,10,6,8,10,10,10,6,10,8,8,7,5,5,5,2,3,253.873,6.678571429,4.062108014,2.732842713,0.94369437,3.833
215,19,Another,104.402,0,0,0,4,1,1,1,1,0,0,0,-2,-2,-2,-2,2,-2,0,1,0,2,0.4,-2,-2,0.25,0.8,194,19,Non-binary,3,4,1,3.5,5,3,0,0,1,0,0,5,3,4,8,6,7,4,3,0,9,3,5,6,6,9,10,7,9,7,9,9,4,8,10,9,6,9,8,8,7,6,278.125,6.857142857,4.240679442,2.05,0.260851657,1.106
185,19,Man,69.91,0,0,0,4,1,0,3,0,0,0,0,1,1,1,0,1,2,1,1,0,1.666666667,0.6,1,0.5,1.25,0.755555556,255,19,Man,5,4,3,1.5,5,5,0,0,3,0,5,0,1,2,6,9,7,1,8,0,3,0,10,8,10,8,8,9,10,7,7,9,6,10,10,9,3,10,8,7,1,10,215.64,6.928571429,4.312108014,2.65,0.860851657,3.712
144,19,Woman,79.011,1,2,2,2,2,1,2,1,2,1,2,1,1,1,1,1,0,1,1,1.666666667,1.666666667,1.6,1,1,0.75,1.644444445,513,19,Woman,2,1,0,2,2,1,1,0,0,0,1,0,2,2,7,7,8,7,3,7,7,6,7,7,7,6,5,7,6,7,7,6,8,9,9,7,8,7,9,7,8,7,203.645,7,4.383536585,0.9,-0.889148343,-3.898
1171,19,Man,1013.167,3,1,1,1,1,3,3,3,3,0,1,-1,0,0,0,0,0,0,0,1.666666667,1.666666667,2,-0.5,0,0,1.777777778,599,18,Man,4,3,1,0,3,3,0,0,2,0,0,0,0,0,7,7,5,7,7,5,7,7,7,8,8,8,5,8,8,7,8,8,7,9,8,6,7,7,6,5,8,7,51.325,7.035714286,4.419250871,1.6,-0.189148343,-0.836
149,20,Woman,80.57,5,5,2,5,4,4,5,4,3,3,4,2,1,0,1,2,1,1,1,4,4.333333333,3.8,1.5,0.5,1.25,4.044444444,726,19,Woman,4,4,3,1.5,4,4,0,0,2,0,1,0,2,1,9,9,8,1,8,3,8,3,0,5,6,9,8,9,9,9,9,10,2,10,10,10,8,9,7,8,9,7,278.359,7.25,4.633536585,2.25,0.460851657,2.135
135,21,Man,78.168,2,1,0,0,0,0,0,0,0,0,0,1,-1,0,0,1,-1,1,0,1,0,0,0,0,0.25,0.333333333,529,20,Man,4,5,3,0.5,5,4,1,0,4,0,3,0,1,0,9,10,3,3,9,10,0,4,10,10,5,10,9,10,9,9,10,10,7,10,0,7,5,8,9,6,10,3,130.509,7.321428571,4.704965156,2.65,0.860851657,4.05
180,20,Woman,92.37,2,1,3,4,3,3,1,0,0,0,2,1,2,0,1,1,2,1,1,2,3.333333333,0.6,1.5,0.5,1.25,1.977777778,258,19,Woman,4,4,0,1.5,4,4,0,0,3,2,4,1,2,1,4,5,8,5,5,6,7,6,7,6,5,8,6,7,7,7,8,7,10,8,9,9,10,10,8,10,9,10,317.203,7.392857143,4.776393728,2.25,0.460851657,2.201
135,18,Woman,51.815,0,1,1,4,0,0,0,0,0,0,1,-1,-1,1,-2,-2,-2,-1,-1,0.666666667,1.333333333,0.2,-1,-0.5,-1.5,0.733333333,167,18,Woman,4,2,0,4.5,4,0,0,0,4,0,0,0,5,4,9,9,9,3,3,6,9,2,6,9,10,10,10,10,10,10,10,10,10,9,1,10,10,10,10,10,10,1,219.916,8.071428571,5.454965156,1.85,0.060851657,0.332
