Age ,Q6,Q4,Q25_1,Q25_2,Q25_3,Q25_4,Q25_5,Q25_6,Q25_7,Q25_8,Q25_9,Q25_10,Q25_11,Q25_12,Q25_13,Q25_14,Q25_15,Q25_16,Q25_17,Q25_18,Q25_19,Q25_20,Q25_21,Q25_22,Q25_23,Q25_24,Q25_25,Q25_26,Q25_27,Q25_28,DES time_Page Submit,DES_score,CODE,age,gender,PCSscore,1handlowersubj,2handtogethersubj,3mosquitosubj,4TasteAverage,5rigidsubj,6immobilizationsubj,7musicsubj,8ballssubj,9amnesiasubj,10spaceGeoMean,10spacebarsubj1,10spacebarsubj2,4Tastesweetsubj,4Tastesoursubj
18,Man,1,2,5,1,0,0,0,0,1,1,1,0,0,0,3,1,1,3,2,7,3,1,1,2,0,1,0,2,0,281.784,1.357142857,302,18,Man,0.673205081,1,1,2,0,0,0,0,0,1,1.732050808,3,1,0,0
20,Man,1,0,8,5,0,3,9,0,1,2,4,0,2,0,9,6,0,4,5,3,8,9,3,9,6,2,2,9,0,334.536,3.892857143,233,20,Man,0.65,2,1,0,1.5,1,1,0,0,0,0,1,0,0,3
50,Man,1,1,3,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,1,1,1,0,2,0,0,0,0,0,399.827,0.464285714,162,49,Man,0.7,2,0,2,0,1,2,0,0,0,0,0,0,0,0
19,Prefer not to say,1,1,1,1,1,1,2,6,0,3,5,1,9,7,2,3,8,7,1,1,1,1,0,1,8,4,1,4,1,562.327,2.892857143,806,18,Non-binary,0.7,0,4,0,0,1,0,0,0,2,0,2,0,0,0
18,Woman,1,2,3,0,0,1,0,0,0,2,1,0,1,0,0,3,1,1,2,1,5,0,2,0,1,1,0,0,0,522.696,0.964285714,268,18,Woman,0.7,1,2,0,0,2,1,0,0,0,1,1,1,0,0
25,Man,1,3,5,0,0,1,0,0,0,0,5,5,0,0,4,6,9,3,4,3,5,5,5,5,5,5,5,0,5,216.665,3.142857143,524,24,Man,0.8,2,0,0,0,1,0,1,0,4,0,0,0,0,0
19,Woman,1,0,5,2,0,1,0,0,0,0,0,0,1,1,0,4,2,3,2,4,6,5,1,4,6,1,0,3,0,255.692,1.821428571,861,19,Woman,0.8,3,0,0,1,2,1,0,0,1,0,2,0,2,0
19,Man,1,1,3,1,0,1,0,0,0,0,0,0,1,0,1,2,0,6,2,10,0,8,3,2,1,1,0,0,0,302.326,1.535714286,498,18,Man,0.75,1,2,0,2.5,0,1,0,0,1,0,5,0,2,3
18,Man,1,4,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,4,10,5,4,0,1,3,1,1,0,0,0,466.416,1.357142857,34,18,Man,0.75,4,1,0,1.5,1,0,0,0,0,0,1,0,1,2
18,Other,1,7,10,6,1,0,2,6,3,9,6,9,7,8,0,7,6,3,4,8,9,10,8,4,9,6,1,0,9,747.569,5.642857143,42,18,Non-binary,0.8,1,0,0,0,1,1,0,0,5,0,5,0,0,0
19,Woman,1,7,7,8,7,3,7,7,6,7,7,7,6,5,7,6,7,7,6,8,9,9,7,8,7,9,7,8,7,203.645,7,513,19,Woman,0.9,2,1,0,2,2,1,1,0,0,0,1,0,2,2
19,Man,1,2,4,0,0,0,0,0,0,0,1,0,1,0,2,3,2,1,1,0,4,7,2,4,4,0,0,0,0,236.594,1.357142857,624,18,Man,0.895,2,3,0,0.5,1,0,0,0,0,2.45,2,3,1,0
19,Other,1,1,3,0,0,0,0,0,0,3,1,0,1,1,0,3,3,2,0,3,4,6,1,3,5,2,0,0,4,246.511,1.642857143,250,19,Non-binary,0.9,5,1,0,0,0,0,0,0,3,0,5,0,0,0
19,Man,1,1,5,0,1,1,2,3,0,0,1,0,3,1,1,2,1,0,1,2,4,2,1,1,2,2,3,0,0,296.735,1.428571429,758,18,Man,0.9,3,4,0,0,1,0,0,0,1,0,0,1,0,0
19,Woman,1,0,3,0,0,0,0,0,0,1,2,3,5,2,1,8,1,3,0,0,3,5,5,0,5,2,0,7,2,260.51,2.071428571,209,19,Woman,0.9,2,4,0,1,2,0,0,0,0,0,5,0,1,1
18,Woman,1,1,4,3,0,0,0,9,0,1,0,5,3,6,4,4,1,3,4,9,6,1,4,3,1,1,1,0,1,313.589,2.678571429,173,18,Woman,0.9,3,2,0,0,3,1,0,0,0,0,0,2,0,0
19,Other,1,2,3,0,0,0,0,1,0,1,0,4,1,2,0,0,0,1,0,1,3,0,1,0,1,0,0,0,1,332.195,0.785714286,595,19,Non-binary,0.941,2,3,0,0,1,1,0,0,1,1.41,2,1,0,0
19,Man,1,3,0,4,0,0,0,7,2,1,1,0,0,0,8,6,3,1,2,2,0,4,7,5,1,0,0,0,1,447.24,2.071428571,610,18,Man,0.9,2,2,0,1,1,1,0,0,2,0,4,0,1,1
20,Woman,1,1,3,0,0,1,0,0,0,0,1,1,0,0,2,4,1,3,1,2,1,4,2,3,2,0,1,4,1,590.25,1.357142857,119,20,Woman,0.85,4,0,1,0.5,2,0,0,0,1,0,0,5,1,0
19,Man,1,3,4,0,0,0,3,0,0,0,0,0,2,8,4,1,0,0,1,3,1,10,4,2,3,0,0,1,0,632.3,1.785714286,464,18,Man,0.9,3,3,0,0,2,1,0,0,0,0,0,1,0,0
18,Woman,1,4,7,2,2,5,0,0,0,0,1,0,1,0,4,4,1,8,7,6,5,9,6,3,6,4,2,2,0,182.54,3.178571429,220,18,Woman,1,1,3,0,1,4,1,0,0,0,0,5,0,2,0
20,Woman,1,2,3,0,0,0,0,0,0,2,1,1,0,0,0,1,0,0,0,2,1,5,5,8,5,0,0,0,0,187.6,1.285714286,389,20,Woman,0.982842713,2,0,0,0,2,0,0,0,3,2.828427125,4,2,0,0
19,Woman,1,3,7,1,0,0,1,3,0,0,2,1,2,1,1,7,0,0,0,0,1,8,1,3,0,0,0,0,0,189.147,1.5,5,19,Woman,1,2,3,0,0,3,2,0,0,0,0,0,5,0,0
21,Woman,1,1,7,0,0,0,7,0,2,1,1,7,2,2,1,3,8,8,8,4,8,1,9,8,3,1,0,0,2,212.626,3.357142857,883,20,Woman,1,3,5,1,0,0,1,0,0,0,0,4,0,0,0
