Booklet,UNIVERSITY,Participantnumber,Age,Sex,Objectivescore,Objectivereturnscore,Subjectivescore,Subjectivereturnscore,Inductionrating,Q1HANDLOWEROBB,Q1HANDLOWERSUBJ,Q2MAGNETICOBJ,Q2MAGNETICSUBJ,Q3MOSQUITOOBJ,Q3MOSQUITOSUBJ,Q4TASTEOBJ,TASTEMEAN,Q4TASTE1SUBJ,Q4TASTE2SUBJ,Q5RIGIDITYOBJ,Q5RIGIDITYSUBJ,Q6IMMOBILEOBJ,Q6IMMOBILESUBJ,Q7MUSICOBJ,Q7MUSICSUBJ,Q8BALLSOBJ,Q8BALLSSUBJ,Q9AMNESIAOBJ,Q9AMNESIASUBJ,Q10PHSOBJ,Q10PHSSUBJ1,Q10PHSSUBJ2,PHSSUBJECTIVEGEOMETRICMEAN
1,1,146,18,Female,2, ,1.7,,3,1,5,0,3,0,0,0,0.5,1,0,0,4,0,3,0,0,0,0,0,1,1,1,0,0
2,1,315,18,Female,2, ,1.7,,1,1,4,1,3,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,2,0,2,4,2.828427125
1,1,220,18,Female,3, ,1.7,,2,0,2,1,4,0,1,1,3,3,3,0,2,1,2,0,0,0,1,0,2,0,0,4,0
2,2,429,18,Female,3, ,1.7,,1,1,5,0,2,0,0,0,1,2,0,1,4,1,4,0,0,0,0,0,1,0,0,1,0
2,2,419,18,Female,4, ,1.7,,2,1,5,1,3,0,0,0,0,0,0,1,4,1,4,0,0,0,0,0,1,0,2,0,0
2,2,392,18,Male,5, ,1.7,,2,1,2,1,1,0,0,1,1,1,1,1,5,1,4,0,0,0,0,0,3,0,1,1,1
1,1,102,18,Male,4, ,1.7,,3,1,5,0,1,1,2,0,0,0,0,1,4,1,4,0,0,0,0,0,1,0,5,0,0
2,2,413,18,Female,2, ,1.7,,4,1,5,1,4,0,2,0,1,1,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0
2,1,287,18,Female,2, ,1.7,,2,1,4,0,1,0,2,0,1,0,2,0,3,0,3,0,0,0,0,0,1,1,4,1,2
1,1,65,18,Female,4, ,1.7,,2,1,4,1,3,0,1,0,3,3,3,1,3,1,3,0,0,0,0,0,0,0,5,0,0
2,1,320,18,male,3, ,1.8,,2,1,4,1,4,0,0,0,2.5,3,2,1,4,0,2,0,0,0,0,0,1,0,2,0,0
1,1,84,18,Female,4, ,1.8,,1,1,3,1,3,1,2,0,2.5,2,3,1,4,0,2,0,0,0,0,0,1,0,1,0,0
2,2,385,18,Female,5, ,1.8,,2,1,4,1,4,0,1,1,1.5,2,1,1,3,0,3,0,0,0,0,0,1,1,3,0,0
2,2,422,18,Female,3, ,1.8,,3,1,4,1,4,0,0,0,1.5,2,1,1,3,0,4,0,0,0,0,0,1,0,0,0,0
2,1,260,18,Female,2, ,1.8,,2,0,4,1,4,1,2,0,2,3,1,0,3,0,2,0,0,0,0,0,1,0,1,0,0
1,1,63,18,Female,5, ,1.8,,3,1,5,1,5,0,0,0,0,0,0,1,4,1,3,0,0,0,0,0,1,1,5,0,0
2,1,306,18,Female,2,8,1.9,2.7,3,0,4,0,1,0,0,1,1.5,1,2,1,2,0,4,0,0,0,0,0,2,0,4,4,4
2,2,384,18,Male,3, ,1.9,,2,1,3,0,3,0,1,0,1.5,2,1,1,2,0,3,1,1,0,2,0,2,0,0,1,0
1,1,5,18,Female,4, ,1.9,,2,0,5,1,4,0,0,0,0.5,1,0,1,4,1,4,0,0,1,0,0,1,0,0,0,0
2,1,316,18,Female,4, ,1.9,,2,1,4,1,3,0,1,0,2.5,2,3,1,2,1,3,0,0,0,0,0,1,0,4,1,2
1,1,70,18,Female,7,5,1.9,1.2,2,1,4,1,3,1,1,1,1.5,2,1,1,3,0,1,0,0,0,0,1,2,1,5,2,3.16227766
1,1,151,18,Female,4, ,1.9,,2,1,4,1,4,0,0,0,0,0,0,1,4,1,2,0,0,0,0,0,3,0,4,1,2
1,1,60,18,Female,4,3,2.0,1.5,2,0,2,1,4,1,3,0,1.5,3,0,1,4,1,3,0,0,0,0,0,2,0,0,0,0
2,2,391,18,Female,4, ,2.0,,3,1,4,0,2,0,0,1,3.5,3,4,1,4,1,3,0,0,0,0,0,3,0,2,0,0
1,1,110,18,Female,4, ,2.0,,2,1,4,1,4,0,1,1,4,4,4,0,3,0,2,0,0,0,0,0,2,1,5,0,0
2,1,309,18,Female,4, ,2.0,,3,0,3,1,5,1,1,1,3,4,2,1,4,0,3,0,0,0,0,0,1,0,4,0,0
2,2,416,18,Female,2, ,2.0,,2,1,4,0,2,0,1,0,2,2,2,0,3,0,2,0,0,0,0,0,2,1,4,4,4
1,1,64,18,Male,4,4,2.0,1.9,3,1,4,1,4,0,0,0,0,0,0,1,4,1,3,0,0,0,0,0,3,0,2,2,2
1,1,8,18,Female,2,4,2.0,1.8,2,0,3,1,4,1,3,0,2,3,1,0,2,0,2,0,0,0,0,0,2,0,4,1,2
2,1,246,18,Female,7, ,2.0,,2,1,4,1,4,1,2,1,1.5,1,2,1,3,1,0,0,0,0,1,0,2,1,4,2,2.828427125
1,1,169,18,Female,4, ,2.1,,4,1,3,1,3,0,0,0,1.5,3,0,0,3,1,5,0,0,0,5,0,0,1,4,0,0
2,1,294,18,Female,5, ,2.1,,2,1,4,1,4,1,3,0,2.5,4,1,1,3,1,4,0,0,0,0,0,0,0,3,0,0
2,1,302,18,Female,6, ,2.1,,3,1,4,1,4,1,1,1,1.5,1,2,1,4,0,3,0,0,0,0,0,3,1,1,0,0
2,2,383,18,Female,3, ,2.1,,4,1,5,1,3,0,0,0,2,1,3,0,2,0,2,0,0,1,3,0,2,0,2,2,2
1,1,26,18,Female,5,5,2.1,1.9,2,1,4,1,5,0,0,0,1,2,0,1,3,1,1,0,0,1,1,0,4,0,3,2,2.449489743
2,1,256,18,male,4, ,2.2,,3,1,5,1,5,0,0,0,0.5,1,0,1,5,0,3,0,0,1,2,0,1,0,0,0,0
1,1,106,18,Female,4, ,2.2,,3,1,4,1,3,0,1,1,3,2,4,1,3,0,2,0,0,0,0,0,3,0,2,4,2.828427125
2,2,430,18,Male,4, ,2.2,,2,1,4,1,4,0,0,0,1,1,1,1,5,0,0,0,0,0,0,0,3,1,5,5,5
2,2,414,18,Female,4, ,2.2,,3,1,5,1,4,0,0,0,1.5,0,3,1,3,1,5,0,0,0,0,0,2,0,3,1,1.732050808
1,1,54,18,Female,1,3,2.2,1.2,1,0,4,0,3,0,0,0,0,0,0,0,1,0,2,0,0,0,5,0,3,1,4,5,4.472135955
1,1,103,18,Male,6,5,2.3,2.0,3,1,5,1,4,0,0,1,2.5,1,4,1,5,0,1,1,1,0,0,0,4,1,0,0,0
1,1,28,18,Female,6, ,2.3,,3,0,3,1,4,0,1,1,1.5,2,1,1,4,0,3,0,0,1,3,1,3,1,5,0,0
2,2,415,18,Female,4, ,2.3,,2,0,4,1,3,0,0,0,1.5,3,0,1,4,1,5,0,0,0,1,0,2,1,4,1,2
1,1,187,18,Female,7, ,2.3,,3,1,4,1,2,0,0,1,3,3,3,1,4,1,5,0,0,1,0,0,2,1,3,3,3
1,1,138,18,Female,4, ,2.4,,2,0,4,0,3,1,3,1,3.5,4,3,1,3,0,3,0,2,0,0,0,2,1,2,0,0
1,1,75,18,Female,6, ,2.4,,2,0,3,1,4,0,1,1,3.5,4,3,1,5,1,5,0,0,0,0,1,1,1,1,2,1.414213562
2,1,265,18,Female,5, ,2.4,,4,1,5,0,3,0,1,0,0.5,0,1,0,2,1,4,0,0,1,2,1,4,1,3,2,2.449489743
2,1,236,18,Female,4, ,2.4,,4,1,5,1,3,1,4,0,2,0,4,0,3,0,4,0,0,0,0,0,3,1,4,0,0
1,1,131,18,Female,4, ,2.4,,3,1,4,0,3,1,3,0,1,1,1,1,5,0,2,0,0,0,4,1,0,0,2,2,2
2,1,310,18,Female,6, ,2.4,,2,1,4,1,4,1,3,0,1,0,2,1,4,0,3,0,0,1,4,0,1,1,3,0,0
2,2,361,18,Female,4, ,2.4,,2,0,4,1,3,0,0,0,2,3,1,1,5,1,4,0,0,0,0,0,1,1,5,5,5
1,1,152,18,Female,6,5,2.5,2.1,3,1,4,1,5,1,2,0,1.5,2,1,1,4,0,3,0,0,0,0,1,3,1,2,3,2.449489743
1,1,30,18,Female,4, ,2.5,,2,0,3,1,2,0,3,1,3.5,4,3,1,4,1,3,0,0,0,1,0,2,0,4,3,3.464101615
1,1,159,18,Female,5, ,2.5,,3,1,5,0,3,1,4,0,2,2,2,1,4,1,4,0,0,0,0,1,3,0,0,5,0
1,1,105,18,Female,6,4,2.5,1.1,1,1,5,1,5,0,0,1,2,1,3,1,3,1,4,0,0,0,5,0,1,1,2,0,0
2,1,297,18,Female,5, ,2.5,,2,1,5,1,5,0,1,1,2,1,3,1,4,1,5,0,0,0,0,0,3,0,0,5,0
1,1,25,18,Female,6,3,2.6,2.2,4,1,4,1,3,1,1,1,2.5,2,3,1,4,0,3,0,0,0,1,1,4,0,3,3,3
1,1,88,18,Female,8,7,2.6,3.2,5,1,5,1,4,1,3,1,1,1,1,1,4,1,4,0,1,0,0,1,4,1,3,0,0
2,2,431,18,Female,6, ,2.6,,4,1,5,1,4,1,3,1,3,3,3,1,3,1,4,0,1,0,0,0,1,0,2,3,2.449489743
1,1,92,18,Female,6,2,2.7,0.4,3,1,5,1,4,1,3,1,2.5,2,3,1,4,0,1,0,2,0,0,0,0,1,5,5,5
2,1,299,18,Female,5, ,2.7,,4,1,5,1,5,0,1,1,3,5,1,1,4,1,4,0,0,0,0,0,2,0,5,2,3.16227766
2,2,417,18,Female,7, ,2.7,,3,1,5,1,5,1,2,1,3,4,2,1,4,1,3,0,0,0,1,0,2,1,3,2,2.449489743
2,2,350,18,Female,5, ,2.8,,2,1,5,1,4,0,0,1,3.5,4,3,1,5,0,2,0,0,0,4,1,3,0,1,1,1
